,category1,category2,bmId,name,description,homepage,company anniversary,investmentGoal,funding stages,valuationCap,Fully Diluted Shares,discount rate,revenue,capital,minimum_investment_amount,price per share,deadline,reward,risk,shortPitchURL,address,investmentGoal(Unscaled),categories,final_score
0,1,9.0,2,매스프레소,"AI 기반 수학 학습콘텐츠 플랫폼 '콴다', 비대면 1:1 과외 서비스 '콴다과외', 맞춤형 학습관리 솔루션 '콴다수학코치', 개인화된 시험 자료 생성 서비스 'Cramify' 등을 운영하는 기업",mathpresso.com,2015.6.3,0.39531573498964806,Series C,153000000000.0,51000000.0,0.2,135500000.0,14900000.0,7500000.0,3000.0,,ST,0.15,https://youtu.be/t0VUUN5gK-w?si=Dw9F5ZGAjXdM9Krf,서울 강남구 선릉로 428 위워크 선릉 3호점 17층,15275000000.0,"[1, 9]",0.019637121626386388
1,11,2.0,15,마이띵스,스마트팜 통합 플랫폼을 개발하는 기업,www.mythings.co.kr,2019.9.30,0.18131469979296067,Seed,7000000000.0,56000000.0,0.15,700600000.0,142600000.0,2000000.0,1200.0,,ST,0.6125,https://www.youtube.com/watch?v=sj9nDcrDZJ8,"대전 유성구 어은로51번길 44, B1",7006000000.0,"[11, 2]",0.032001293995859215
2,6,11.0,23,넥스트온,"수직형 인도어 스마트팜 시스템 구축, 엽채류 및 딸기류 판매, 미래 바이오 소재 개발 연구",http://nexton.ag/,,0.0,Series B,12000000000.0,2000000.0,0.15,,,,5999.85,,ST,0.0,https://www.youtube.com/watch?v=gGnzR5VgB3U,,,"[6, 11]",-0.004656652360515022
3,37,9.0,28,이지태스크,가능한 시간만큼 일하고 싶은 사람들을 연결해주는 실시간 온라인 사무 보조 플랫폼입니다.,,,0.0,Seed,320000000.0,100000.0,0.2,,,,3199.8,,ST,0.0,https://www.youtube.com/shorts/Yg7ty169_i4,,,"[37, 9]",-0.0020796135617793137
4,7,9.0,29,볼트1932,안전금고 대여서비스를 제공하는 기업,,,0.0,Pre-Seed Stage,100000000.0,80000.0,0.1,,,,1249.9,,ST,0.0,https://www.youtube.com/watch?v=FZUDl2Pg20s,,,"[7, 9]",-5.198079106638748e-05
